,Team,Elo
0,"Bronzong_Trick Room Support, Arcanine_Offensive, Weavile_All-out Attacker, Manectric-Mega_Special Attacker, Zapdos_Physically Defensive, Tornadus_Rain Support",1341.8971298238864
1,"Cresselia_Defensive, Talonflame_Revenge Killer, Thundurus_Thunder Wave + 3 Attacks, Manectric-Mega_Special Attacker, Landorus-Therian_Choice Scarf, Zapdos_Physically Defensive",1496.9339139147332
2,"Landorus-Therian_Choice Scarf, Talonflame_Revenge Killer, Thundurus_Mixed Attacker, Mr. Mime_Choice Scarf, Manectric_Special Attacker, Charizard-Mega-X_Swords Dance",1512.8142926850178
3,"Thundurus_Nasty Plot, Talonflame_Revenge Killer, Landorus-Therian_Choice Scarf, Manectric-Mega_Special Attacker, Cresselia_Defensive, Arcanine_Defensive",1617.0445549872327
4,"Metagross-Mega_All-out Attacker, Smeargle_Suicide Lead, Thundurus_Thunder Wave + 3 Attacks, Bronzong_Trick Room Support, Zapdos_Physically Defensive, Arcanine_Offensive",1272.8777419572773
5,"Thundurus_Nasty Plot, Manectric-Mega_Special Attacker, Landorus-Therian_Choice Scarf, Infernape_Choice Scarf, Cresselia_Defensive, Talonflame_Revenge Killer",1614.1560157903018
6,"Cresselia_Trick Room, Scrafty_Dragon Dance, Talonflame_Revenge Killer, Thundurus_Nasty Plot, Metagross-Mega_Rock Polish, Muk_Assault Vest",1329.3021440939954
7,"Granbull_Bulky Attacker, Magby_Life Orb, Regigigas_Tank, Weavile_All-out Attacker, Swellow_Guts Attacker, Pidgeot-Mega_All-out Attacker",1026.2856442518776
8,"Arcanine_Offensive, Smeargle_Lead, Bronzong_Special Tank, Garbodor_Defensive Hazard Stack, Scrafty_Dragon Dance, Tornadus_Rain Support",993.2139299462325
9,"Arcanine_Defensive, Talonflame_Offensive Swords Dance, Scrafty_Dragon Dance, Manectric-Mega_Special Attacker, Bouffalant_Substitute, Bronzong_Offensive Trick Room",1301.7433871756814
